T,H,Surge,Sway,Heave,Roll,Pitch,Yaw,Force1,Force2
0.100000002,3.30E+02,-9.03E-02,-1.76E-03,6.53E+01,-2.67E-09,5.20E-04,-1.35E-08,5.08E+03,5.07E+03
0.200000003,3.49E+02,3.65E-01,-1.51E-02,1.92E+02,2.14E-07,-3.39E-03,-1.48E-07,5.21E+03,5.25E+03
0.300000005,3.63E+02,1.43E+00,-3.44E-02,3.01E+02,6.00E-07,-1.17E-02,-3.28E-07,5.29E+03,5.43E+03
0.400000006,3.71E+02,3.63E+00,-4.18E-02,3.43E+02,-5.59E-07,-2.23E-02,-7.41E-07,5.28E+03,5.55E+03
0.500000008,3.75E+02,7.10E+00,-4.18E-02,3.26E+02,-1.12E-06,-3.01E-02,-1.21E-06,5.22E+03,5.58E+03
0.600000009,3.76E+02,9.64E+00,-3.30E-02,3.32E+02,-2.99E-07,-2.47E-02,-1.52E-06,5.27E+03,5.54E+03
0.70000001,3.76E+02,1.11E+01,3.17E-03,3.82E+02,-3.63E-06,-1.48E-02,-2.00E-06,5.40E+03,5.52E+03
0.800000012,3.75E+02,1.40E+01,1.20E-01,4.39E+02,-1.99E-05,-1.40E-02,-2.80E-06,5.48E+03,5.57E+03
0.900000013,3.74E+02,2.19E+01,2.89E-01,4.76E+02,-4.97E-05,-1.72E-02,-2.60E-06,5.53E+03,5.61E+03
1.000000015,3.76E+02,3.66E+01,4.71E-01,4.96E+02,-8.59E-05,-1.41E-02,3.21E-06,5.62E+03,5.56E+03
1.100000016,3.81E+02,5.46E+01,5.17E-01,5.22E+02,1.62E-05,-8.92E-03,2.11E-05,5.75E+03,5.50E+03
1.200000018,3.91E+02,7.39E+01,4.49E-01,5.44E+02,-1.24E-04,-6.66E-03,4.90E-05,5.86E+03,5.44E+03
1.300000019,4.06E+02,9.61E+01,4.61E-01,5.54E+02,-3.31E-04,-4.88E-03,8.15E-05,5.96E+03,5.36E+03
1.400000021,4.28E+02,1.23E+02,4.41E-01,5.70E+02,-1.52E-04,-1.70E-03,9.73E-05,6.09E+03,5.27E+03
1.500000022,4.57E+02,1.55E+02,3.02E-01,5.95E+02,3.89E-05,2.47E-03,8.47E-05,6.26E+03,5.16E+03
1.600000024,4.93E+02,1.91E+02,-8.40E-02,6.25E+02,2.54E-04,6.81E-03,4.51E-05,6.45E+03,5.05E+03
1.700000025,5.38E+02,2.32E+02,-7.65E-01,6.59E+02,-5.59E-05,1.14E-02,-2.57E-05,6.67E+03,4.92E+03
1.800000027,5.90E+02,2.75E+02,-1.34E+00,6.99E+02,-2.94E-04,1.60E-02,-1.13E-04,6.89E+03,4.79E+03
1.900000028,6.51E+02,3.19E+02,-1.62E+00,7.47E+02,-4.16E-04,2.01E-02,-2.15E-04,7.13E+03,4.67E+03
2.00000003,7.19E+02,3.62E+02,-1.38E+00,7.95E+02,-3.85E-04,2.37E-02,-3.24E-04,7.37E+03,4.56E+03
2.100000031,7.94E+02,4.04E+02,-8.43E-01,8.44E+02,-1.87E-04,2.70E-02,-4.12E-04,7.59E+03,4.45E+03
2.200000033,8.75E+02,4.44E+02,-2.73E-01,8.96E+02,-1.83E-04,3.01E-02,-4.68E-04,7.81E+03,4.35E+03
2.300000034,9.62E+02,4.82E+02,3.59E-01,9.46E+02,-1.90E-04,3.37E-02,-4.95E-04,8.03E+03,4.26E+03
