T,H,Surge,Sway,Heave,Roll,Pitch,Yaw,Force1,Force2
0.100000002,-2.77E+02,-2.36E+00,8.49E-04,-1.51E+01,3.23E-09,-1.21E-02,-1.98E-09,4.89E+03,5.07E+03
1.100000016,-5.91E+02,-3.01E+01,-1.85E-01,-4.48E+02,3.09E-05,-1.56E-02,-1.65E-05,4.26E+03,4.68E+03
2.100000031,-4.57E+02,-1.12E+02,1.57E+00,-4.22E+02,5.97E-04,3.03E-02,1.44E-04,4.32E+03,4.68E+03
3.100000046,8.55E+01,2.80E+01,-2.65E-01,5.10E+01,-3.08E-04,5.70E-02,1.30E-04,5.58E+03,4.61E+03
4.100000061,6.18E+02,9.57E+01,-2.90E+00,4.88E+02,3.31E-05,3.52E-02,2.27E-04,6.18E+03,5.04E+03
5.100000076,6.97E+02,7.89E+01,-3.02E-01,5.18E+02,7.59E-04,-2.18E-02,8.70E-05,5.76E+03,5.52E+03
6.100000091,1.73E+02,8.68E+01,6.60E+00,2.09E+02,-4.56E-05,-5.23E-02,9.54E-06,5.20E+03,5.32E+03
7.100000106,-3.74E+02,6.90E+01,-2.57E+00,-2.65E+02,6.59E-04,-3.81E-02,2.14E-05,4.69E+03,4.73E+03
8.100000121,-5.59E+02,-3.89E+01,-4.21E-01,-5.91E+02,3.18E-04,-7.88E-03,2.61E-05,4.11E+03,4.49E+03
9.100000136,-5.75E+02,-1.56E+02,2.16E+00,-5.91E+02,-3.02E-05,1.05E-02,-6.06E-05,3.82E+03,4.75E+03
10.10000015,-3.06E+02,-6.86E+01,-9.01E-01,-2.88E+02,2.43E-04,3.12E-02,-7.78E-05,4.65E+03,4.70E+03
11.10000017,2.18E+02,1.32E+02,8.78E-01,1.84E+02,-3.80E-05,5.08E-02,8.59E-05,6.04E+03,4.45E+03
12.10000018,6.84E+02,1.43E+02,-6.47E-01,5.18E+02,9.95E-05,2.45E-02,3.85E-05,6.29E+03,4.98E+03
13.1000002,6.56E+02,4.80E+01,-1.53E+00,4.87E+02,1.60E-04,-2.89E-02,-9.72E-05,5.57E+03,5.64E+03
14.10000021,1.11E+02,8.46E+01,-1.29E+00,2.03E+02,-3.03E-04,-4.63E-02,-4.38E-05,5.24E+03,5.29E+03
15.10000023,-2.04E+02,8.22E+01,-1.31E+00,-1.31E+02,-3.23E-04,-1.85E-02,1.86E-04,5.01E+03,4.69E+03
16.10000024,-1.87E+02,5.54E+01,-1.93E+00,-2.33E+02,4.18E-05,1.54E-02,2.73E-04,5.03E+03,4.44E+03
17.10000025,-1.20E+02,-6.58E+01,3.18E+00,-1.58E+02,3.53E-04,1.04E-02,-1.33E-05,4.65E+03,4.96E+03
18.10000027,-9.99E+01,-1.04E+02,2.46E+00,-1.92E+02,-1.04E-04,-1.20E-02,1.27E-04,4.32E+03,5.20E+03
19.10000028,-3.27E+02,-3.03E+01,-5.56E-01,-3.10E+02,-5.56E-04,-1.76E-02,6.67E-05,4.41E+03,4.85E+03
20.1000003,-4.20E+02,-1.62E+01,-1.87E+00,-3.87E+02,-8.78E-05,-4.54E-03,-1.89E-04,4.46E+03,4.63E+03
21.10000031,-2.13E+02,7.08E+00,1.43E+00,-2.50E+02,-3.40E-04,2.43E-02,-1.50E-04,4.89E+03,4.51E+03
